ticker,source,category,source_weight,method
MO,SPY,large_cap_core,3.0,wikipedia_sp500
AMZN,SPY,large_cap_core,3.0,wikipedia_sp500
AMCR,SPY,large_cap_core,3.0,wikipedia_sp500
AEE,SPY,large_cap_core,3.0,wikipedia_sp500
AEP,SPY,large_cap_core,3.0,wikipedia_sp500
AXP,SPY,large_cap_core,3.0,wikipedia_sp500
AIG,SPY,large_cap_core,3.0,wikipedia_sp500
AMT,SPY,large_cap_core,3.0,wikipedia_sp500
AWK,SPY,large_cap_core,3.0,wikipedia_sp500
AMP,SPY,large_cap_core,3.0,wikipedia_sp500
AME,SPY,large_cap_core,3.0,wikipedia_sp500
AMGN,SPY,large_cap_core,3.0,wikipedia_sp500
APH,SPY,large_cap_core,3.0,wikipedia_sp500
ADI,SPY,large_cap_core,3.0,wikipedia_sp500
AON,SPY,large_cap_core,3.0,wikipedia_sp500
APA,SPY,large_cap_core,3.0,wikipedia_sp500
APO,SPY,large_cap_core,3.0,wikipedia_sp500
AAPL,SPY,large_cap_core,3.0,wikipedia_sp500
AMAT,SPY,large_cap_core,3.0,wikipedia_sp500
APP,SPY,large_cap_core,3.0,wikipedia_sp500
APTV,SPY,large_cap_core,3.0,wikipedia_sp500
ACGL,SPY,large_cap_core,3.0,wikipedia_sp500
ADM,SPY,large_cap_core,3.0,wikipedia_sp500
ARES,SPY,large_cap_core,3.0,wikipedia_sp500
ANET,SPY,large_cap_core,3.0,wikipedia_sp500
AJG,SPY,large_cap_core,3.0,wikipedia_sp500
AIZ,SPY,large_cap_core,3.0,wikipedia_sp500
T,SPY,large_cap_core,3.0,wikipedia_sp500
ATO,SPY,large_cap_core,3.0,wikipedia_sp500
ADSK,SPY,large_cap_core,3.0,wikipedia_sp500
ADP,SPY,large_cap_core,3.0,wikipedia_sp500
AZO,SPY,large_cap_core,3.0,wikipedia_sp500
AVB,SPY,large_cap_core,3.0,wikipedia_sp500
AVY,SPY,large_cap_core,3.0,wikipedia_sp500
AXON,SPY,large_cap_core,3.0,wikipedia_sp500
BKR,SPY,large_cap_core,3.0,wikipedia_sp500
BALL,SPY,large_cap_core,3.0,wikipedia_sp500
BAC,SPY,large_cap_core,3.0,wikipedia_sp500
BAX,SPY,large_cap_core,3.0,wikipedia_sp500
BDX,SPY,large_cap_core,3.0,wikipedia_sp500
BRK-B,SPY,large_cap_core,3.0,wikipedia_sp500
BBY,SPY,large_cap_core,3.0,wikipedia_sp500
TECH,SPY,large_cap_core,3.0,wikipedia_sp500
BIIB,SPY,large_cap_core,3.0,wikipedia_sp500
BLK,SPY,large_cap_core,3.0,wikipedia_sp500
BX,SPY,large_cap_core,3.0,wikipedia_sp500
XYZ,SPY,large_cap_core,3.0,wikipedia_sp500
BNY,SPY,large_cap_core,3.0,wikipedia_sp500
BA,SPY,large_cap_core,3.0,wikipedia_sp500
BKNG,SPY,large_cap_core,3.0,wikipedia_sp500
BSX,SPY,large_cap_core,3.0,wikipedia_sp500
BMY,SPY,large_cap_core,3.0,wikipedia_sp500
AVGO,SPY,large_cap_core,3.0,wikipedia_sp500
BR,SPY,large_cap_core,3.0,wikipedia_sp500
BRO,SPY,large_cap_core,3.0,wikipedia_sp500
BF-B,SPY,large_cap_core,3.0,wikipedia_sp500
BLDR,SPY,large_cap_core,3.0,wikipedia_sp500
BG,SPY,large_cap_core,3.0,wikipedia_sp500
BXP,SPY,large_cap_core,3.0,wikipedia_sp500
CHRW,SPY,large_cap_core,3.0,wikipedia_sp500
CDNS,SPY,large_cap_core,3.0,wikipedia_sp500
CPT,SPY,large_cap_core,3.0,wikipedia_sp500
COF,SPY,large_cap_core,3.0,wikipedia_sp500
CAH,SPY,large_cap_core,3.0,wikipedia_sp500
CCL,SPY,large_cap_core,3.0,wikipedia_sp500
CARR,SPY,large_cap_core,3.0,wikipedia_sp500
CVNA,SPY,large_cap_core,3.0,wikipedia_sp500
CASY,SPY,large_cap_core,3.0,wikipedia_sp500
CAT,SPY,large_cap_core,3.0,wikipedia_sp500
CBOE,SPY,large_cap_core,3.0,wikipedia_sp500
CBRE,SPY,large_cap_core,3.0,wikipedia_sp500
CDW,SPY,large_cap_core,3.0,wikipedia_sp500
COR,SPY,large_cap_core,3.0,wikipedia_sp500
CNC,SPY,large_cap_core,3.0,wikipedia_sp500
CNP,SPY,large_cap_core,3.0,wikipedia_sp500
CF,SPY,large_cap_core,3.0,wikipedia_sp500
CRL,SPY,large_cap_core,3.0,wikipedia_sp500
SCHW,SPY,large_cap_core,3.0,wikipedia_sp500
CHTR,SPY,large_cap_core,3.0,wikipedia_sp500
CVX,SPY,large_cap_core,3.0,wikipedia_sp500
CMG,SPY,large_cap_core,3.0,wikipedia_sp500
CB,SPY,large_cap_core,3.0,wikipedia_sp500
CHD,SPY,large_cap_core,3.0,wikipedia_sp500
CIEN,SPY,large_cap_core,3.0,wikipedia_sp500
CI,SPY,large_cap_core,3.0,wikipedia_sp500
CINF,SPY,large_cap_core,3.0,wikipedia_sp500
CTAS,SPY,large_cap_core,3.0,wikipedia_sp500
CSCO,SPY,large_cap_core,3.0,wikipedia_sp500
C,SPY,large_cap_core,3.0,wikipedia_sp500
CFG,SPY,large_cap_core,3.0,wikipedia_sp500
CLX,SPY,large_cap_core,3.0,wikipedia_sp500
CME,SPY,large_cap_core,3.0,wikipedia_sp500
CMS,SPY,large_cap_core,3.0,wikipedia_sp500
KO,SPY,large_cap_core,3.0,wikipedia_sp500
CTSH,SPY,large_cap_core,3.0,wikipedia_sp500
COHR,SPY,large_cap_core,3.0,wikipedia_sp500
COIN,SPY,large_cap_core,3.0,wikipedia_sp500
CL,SPY,large_cap_core,3.0,wikipedia_sp500
CMCSA,SPY,large_cap_core,3.0,wikipedia_sp500
FIX,SPY,large_cap_core,3.0,wikipedia_sp500
CAG,SPY,large_cap_core,3.0,wikipedia_sp500
COP,SPY,large_cap_core,3.0,wikipedia_sp500
ED,SPY,large_cap_core,3.0,wikipedia_sp500
STZ,SPY,large_cap_core,3.0,wikipedia_sp500
CEG,SPY,large_cap_core,3.0,wikipedia_sp500
COO,SPY,large_cap_core,3.0,wikipedia_sp500
CPRT,SPY,large_cap_core,3.0,wikipedia_sp500
